Year,Année,ISO,Jurisdiction,Juridiction,Species group,"Groupe d'espèces",Tenure (En),Tenure (Fr),Volume (cubic metres) (En),Data qualifier,Volume (en mètre cube) (Fr),Qualificatifs de données
1990,1990,BC,British Columbia,Colombie-Britannique,Hardwoods,Feuillus,Private land,Terres privées,461615,E,461615,E
1990,1990,BC,British Columbia,Colombie-Britannique,Softwoods,Résineux,Private land,Terres privées,6736163,E,6736163,E
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Softwoods,Résineux,Provincial land,Terres provinciales,850000,a,850000,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Softwoods,Résineux,Private land,Terres privées,2900000,a,2900000,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Hardwoods,Feuillus,Provincial land,Terres provinciales,500000,a,500000,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Hardwoods,Feuillus,Private land,Terres privées,1000000,a,1000000,a
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1990,1990,NS,Nova Scotia,Nouvelle-Écosse,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Softwoods,Résineux,Provincial land,Terres provinciales,1175000,a,1175000,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Softwoods,Résineux,Private land,Terres privées,1835000,a,1835000,a
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hardwoods,Feuillus,Provincial land,Terres provinciales,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Hardwoods,Feuillus,Private land,Terres privées,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1990,1990,NL,Newfoundland and Labrador,Terre-Neuve-et-Labrador,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Softwoods,Résineux,Provincial land,Terres provinciales,25300,a,25300,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Softwoods,Résineux,Private land,Terres privées,385000,a,385000,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Hardwoods,Feuillus,Provincial land,Terres provinciales,12900,a,12900,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Hardwoods,Feuillus,Private land,Terres privées,322000,a,322000,a
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Provincial land,Terres provinciales,,u,,u
1990,1990,PE,Prince Edward Island,Île-du-Prince-Édouard,Unspecified,Indéterminée,Private land,Terres privées,,u,,u
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Softwoods,Résineux,Provincial land,Terres provinciales,4330615,a,4330615,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Softwoods,Résineux,Private land,Terres privées,3594230,a,3594230,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Hardwoods,Feuillus,Provincial land,Terres provinciales,1839360,a,1839360,a
1990,1990,NB,New Brunswick,Nouveau-Brunswick,Hardwoods,Feuillus,Private land,Terres privées,2102040,a,2102040,a
