"Data Source","World Development Indicators",

"Last Updated Date","2021-10-28",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020",
"Aruba","ABW","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","398144981.36327","473189049.925187","579384500.969464","684019446.829983","757121754.065994","864373351.955307","948798379.888268","1065102625.69832","1225688268.15642","1305279329.60894","1362139664.80447","1508759776.53631","1659513966.48045","1680117318.43575","1849430167.59777","1862849162.01117","1805642458.10056","1967821229.05028","2154189944.13408","1852067039.10615","2318715083.79888","2230335195.53073","2628547486.03352","2410055865.92179","2250223463.68715","2302793296.08939","2418547486.03352","2563268715.0838","2688000000","2838156424.58101","2848441340.78212","2921759553.07263","2991584752.18033","","",
"Africa Eastern and Southern","AFE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","140766690971.214","147462040696.766","140524622367.221","148480813828.079","136799881527.688","119435006724.666","135129889850.074","167282220594.159","174308317385.189","181435255364.924","196887948493.16","205725414651.614","207813067943.209","206089110346.821","214906903968.915","243683357015.873","242802451417.473","256325948105.766","241593872428.877","237378231117.336","257787602525.292","231580512741.545","237271789217.931","313852505071.791","390589650185.686","452565234550.82","508014948700.11","580662581057.757","626476624526.512","643796606792.078","775511349195.317","860935536828.886","885319955010.594","898510075107.288","929474356815.844","871062630308.722","834018619819.914","936364496109.525","957785424129.188","953258881440.061","879621150954.13",
"Afghanistan","AFG","GNI (current US$)","NY.GNP.MKTP.CD","548888848.888889","560000022.222222","557777806.666667","766666706.666667","815555562.222222","1026666677.77778","1428888871.11111","1708888882.22222","1402222182.22222","1437777737.77778","1784444426.66667","1868886653.33333","1631108937.77778","1771108944.44444","2202222228.88889","2417777777.77778","2611111162.22222","3017777697.77778","3371111037.77778","3775743789.47368","3716553247.16553","3551514995.9596","","","","","","","","","","","","","","","","","","","","","","","","","","","","12403617031.0117","15884505938.8646","17784879610.4755","20033093818.2893","20632806188.1282","20482514566.1497","20087077459.4574","18197299091.3899","19118263186.2494","18544615039.8682","19598008726.2285","19996141020.0625",
"Africa Western and Central","AFW","GNI (current US$)","NY.GNP.MKTP.CD","10173194823.9772","10894455139.7301","11765660125.6547","12553789300.9596","13680393397.385","14638373364.9885","15663308927.648","14068230818.2493","14379514205.1553","16345335136.1422","22713908742.8084","19813136948.9008","23958098055.089","29589369817.9298","42653691562.0261","49908260773.1609","60302208432.6621","63525437613.885","69764121732.58","86674496261.6216","106190548690.715","207151776370.907","184066895769.542","135273033535.398","111798613738.491","113577184696.886","104320260441.75","105880902565.981","106018209514.829","96714866195.6781","114946168792.642","111156435182.923","111525259468.893","90930018059.352","80630649773.3123","101317082575.127","112905359113.486","114510793504.722","117197452023.083","125817793373.085","123818665732.897","132777034459.046","159181039488.706","182456918069.136","226672474139.43","279213316124.51","372146495840.678","431121931361.066","525851373099.348","468682979741.916","548277248257.7","620504208229.603","679758703574.317","767388034880.782","817498164399.2","737422367195.494","670313068024.056","658152201750.609","706964969400.146","763510370537.308","757121930172.054",
"Angola","AGO","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","6688963210.70234","6688963210.70234","6688963210.70234","6688963210.70234","10033444816.0535","10033444816.0535","","","","1484500000","4790851851.85185","5830078378.37838","6731799563.31878","5537793788.18737","4780903500.91375","7448767581.29575","7375076435.20009","13650938445.0336","16086223836.3248","21063484641.148","32940028095.7467","46203141535.012","57667420502.4111","74821071498.8259","63484025273.4841","75712633817.0538","102092364937.169","117631104835.128","126809806035.747","136862298383.356","110286109906.073","95850167792.3992","114618206700.981","93523683283.3905","81900890781.2989","57402543636.1712",
"Albania","ALB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","1860538011.88334","1898450133.4326","2097426250","2081196250","2051436250","2252990000","2026653750","1077859027.77778","617074990.170926","1219215468.95285","1894751525.25858","2436364853.42107","3271442591.26173","2308870570.55215","2623047752.71236","3287195806.66184","3586734166.15744","4070817915.21648","4475531638.29414","5783429392.4242","7360280000.31168","8226134275.15488","9159095071.11884","10974641470.1657","12936158460.7353","11851853961.071","11807221086.4882","12893881300.3118","12228769169.62","12996517125.1415","13350453574.1373","11521024705.9225","12054338166.2203","13053733602.8547","15129831617.421","15084875233.4985","14541470525.5407",
"Andorra","AND","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Arab World","ARB","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","44851278423.5811","51236664544.2656","60883395435.8845","75867062787.8206","146801873262.747","168751932424.937","210969058352.067","237917558364.263","262781883896.744","346039506321.845","466805510277.705","476083021828.659","451272995413.081","431185352763.296","437049338482.004","435989620738.817","425538236639.468","451806991564.666","444448413293.866","463034582233.358","636633492808.506","406393694149.619","436129924376.409","444478302472.456","455855393770.399","507387057463.264","551847664503.977","594981125932.238","580125480146.81","636166519951.96","725357015699.18","705818133155.374","710400624541.442","784842934009.646","937365496416.385","1148832666981.09","1374553052283.96","1611523599693.45","2037229024075.85","1748210426544.72","2045807175492.3","2410969929496.98","2682979503570.77","2768698125727.66","2809005352726.88","2458349253426.09","2415410105946.52","2464450609871.77","2690810261743.68","2736402986582.22","2473225363997.24",
"United Arab Emirates","ARE","GNI (current US$)","NY.GNP.MKTP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","109429271613.342","108376310415.248","110737372362.151","124291899251.191","148532334921.715","183503785187.202","226854458815.521","266289176310.415","319278564002.723","256161470388.019","289703471749.489","350801361470.388","374890129339.687","390570456092.58","403796051735.875","359877739959.156","359141729067.393","388382906439.755","423639141620.15","423200811164.057","",
"Argentina","ARG","GNI (current US$)","NY.GNP.MKTP.CD","","","25083407626.9357","18744951947.7684","26267861213.2167","29078234021.4454","29796191127.5341","24344243038.8777","26044571826.7842","31036571602.8723","30396317996.8419","33634600190.9299","34199500220.4044","52722220653.6761","72679890116.6394","53148109437.7931","51185002820.9107","56339203223.2598","57716474115.782","68626165140.837","76286574002.8188","76842107526.2031","79243829293.0471","98072174234.6778","74996801894.5786","83672502113.7452","105922220616.456","105942857983.875","120715908148.068","70219462542.1818","135150027050.147","183857364656.529","224530580052.493","233743662862.863","253743263100","253362890700","266647700700","286641204400","291542201400","276059280100","276655968900","260969968100","92763789032.7018","122451951871.839","146361588317.154","176153368006.277","224834650825.104","279935852673.42","352523846400.604","322657609584.289","409079888900.219","515090214471.667","532228535071.924","538860312670.019","514705826245.374","582644686839.529","545339165474.109","627248381598.411","499007480928.991","427609245335.726","372835129455.679",
