,Country,Time,Total Land (m2),Forest (%),Agriculture (%)
0,Aruba,1990,180.0,2.3333333333333304,11.1111111111111
1,Africa Eastern and Southern,1990,14777964.271,40.565912022426296,43.5702639252761
2,Afghanistan,1990,652860.0,1.85099408755323,58.266703427993704
3,Africa Western and Central,1990,9045780.0,22.776908127325697,35.2376887344154
4,Angola,1990,1246700.0,63.5780701050774,46.0447581615465
5,Albania,1990,27400.0,28.7883211678832,40.912408759124105
6,Andorra,1990,470.0,34.0425531914894,48.936170212766
7,Arab World,1990,13716764.271,1.78607679771783,31.5346007369023
8,United Arab Emirates,1990,71020.0,3.4497324697268397,4.01295409743734
9,Argentina,1990,2736690.0,12.8637149256949,46.612879061932496
10,Armenia,1990,28470.0,11.7667720407446,
11,American Samoa,1990,200.0,90.35,15.0
12,Antigua and Barbuda,1990,440.0,22.9772727272727,20.4545454545455
13,Australia,1990,7682300.0,17.4273589940513,60.455462556786394
14,Austria,1990,82580.0,45.721361104383604,36.6178251392589
15,Azerbaijan,1990,83217.0,10.2382926565485,
16,Burundi,1990,25680.0,10.766355140186901,82.1651090342679
17,Belgium,1990,32820.0,23.254113345521002,43.9670932358318
18,Benin,1990,112760.0,42.8800106420717,20.1312522170983
19,Burkina Faso,1990,273600.0,28.2039473684211,34.996345029239805
20,Bangladesh,1990,130170.0,14.752477529384699,79.7879695782438
21,Bulgaria,1990,110630.0,30.073217029738803,55.6720600198861
22,Bahrain,1990,690.0,0.318840579710145,11.594202898550698
23,"Bahamas, The",1990,10010.0,50.9350649350649,1.1988011988012
24,Bosnia and Herzegovina,1990,51200.0,43.1640625,
25,Belarus,1990,202840.0,38.3553539735752,
26,Belize,1990,22810.0,70.1459886014906,5.523893029373079
27,Bermuda,1990,54.0,18.5185185185185,5.55555555555556
28,Bolivia,1990,1083300.0,53.35984491830521,32.7286993445952
29,Brazil,1990,8358140.0,70.4580205643839,28.104339003653898
30,Barbados,1990,430.0,14.651162790697699,44.1860465116279
31,Brunei Darussalam,1990,5270.0,78.3681214421252,2.08728652751423
32,Bhutan,1990,46723.0,53.6506645549301,9.716841812383619
33,Botswana,1990,566730.0,33.1792917262188,45.914280168687
34,Central African Republic,1990,622980.0,37.2451764101576,8.035570965360039
35,Canada,1990,8965590.0,38.8455115614254,6.84874057368227
36,Central Europe and the Baltics,1990,1104826.0,31.956977840854602,
37,Switzerland,1990,39529.0,29.1811075412988,40.6208100381998
38,Channel Islands,1990,198.0,4.191919191919189,42.9292929292929
39,Chile,1990,743532.0,20.5049009323069,21.383074299424898
40,China,1990,9424670.0,16.673325432084102,53.7516963458667
41,Cote d'Ivoire,1990,318000.0,24.688238993710698,59.5283018867925
42,Cameroon,1990,472710.0,47.597892999936505,19.398785724863
43,"Congo, Dem. Rep.",1990,2267050.0,66.4427339494056,11.451004609514598
44,"Congo, Rep.",1990,341500.0,65.3440702781845,30.808199121522698
45,Colombia,1990,1109500.0,58.5472194682289,40.6336187471834
46,Comoros,1990,1861.0,24.750134336378302,61.257388500805995
47,Cabo Verde,1990,4030.0,3.81637717121588,16.8734491315136
48,Costa Rica,1990,51060.0,56.940853897375604,43.059146102624396
49,Caribbean small states,1990,404850.0,91.385056193652,4.8519945658885995
50,Cuba,1990,107400.0,19.1620111731844,62.7653631284916
51,Curacao,1990,444.0,,
52,Cayman Islands,1990,240.0,54.7083333333333,11.25
53,Cyprus,1990,9240.0,17.4361471861472,17.3809523809524
54,Czech Republic,1990,77270.0,34.0235537724861,
55,Germany,1990,349130.0,32.3661673302208,51.6483831237648
56,Djibouti,1990,23180.0,0.24158757549611698,56.039689387402895
57,Dominica,1990,750.0,67.08,24.0
58,Denmark,1990,42390.0,12.536919084689801,65.7702288275537
59,Dominican Republic,1990,48310.0,33.0136617677499,52.701304077830706
60,Algeria,1990,2381740.0,0.6999084702780319,16.2385482882263
61,East Asia & Pacific (excluding high income),1990,15964940.0,29.041460224717397,46.624202784351205
62,Early-demographic dividend,1990,33245913.0,25.351703230406798,38.2033666346658
63,East Asia & Pacific,1990,24436470.0,26.222406384413098,50.500379555950204
64,Europe & Central Asia (excluding high income),1990,22638414.0,38.8285595681755,
65,Europe & Central Asia,1990,27390035.027,37.6277786286136,
66,Ecuador,1990,276840.0,52.854392428839795,28.3412801618263
67,"Egypt, Arab Rep.",1990,995450.0,0.0440102466221307,2.6601034707921003
68,Euro area,1990,2678352.0,34.2541200708495,50.682810132116394
69,Eritrea,1990,101000.0,16.049504950495,
70,Spain,1990,499440.0,27.840501361524897,61.0123338138715
71,Estonia,1990,42390.0,52.040575607454606,
72,Ethiopia,1990,1101000.0,18.5363851044505,51.1462306993642
73,European Union,1990,4000402.0,36.299334666866,48.51874430709889
